designation,l,b,dl,db,ra,dec,dra,ddec
SSTGLMA G064.9709+00.7874,64.970917,0.787439,0.3,0.3,298.018808,28.578177,0.3,0.3
SSTGLMA G064.9716-00.6589,64.971609,-0.658914,0.3,0.3,299.424295,27.831281,0.3,0.3
SSTGLMA G064.9737+00.8446,64.973793,0.844619,0.3,0.3,297.964529,28.609902,0.3,0.3
SSTGLMA G064.9753-00.4265,64.975373,-0.42655,0.3,0.3,299.202099,27.955547,0.3,0.3
SSTGLMA G064.9774+00.2589,64.977416,0.258961,0.3,0.3,298.538293,28.312292,0.3,0.3
SSTGLMA G064.9787+02.9824,64.97878,2.982447,0.3,0.3,295.85272,29.691128,0.3,0.3
SSTGLMA G064.9829-00.3339,64.982956,-0.333928,0.3,0.3,299.116968,28.010177,0.3,0.3
SSTGLMA G064.9852+00.6016,64.985259,0.601628,0.3,0.3,298.208794,28.495265,0.3,0.3
SSTGLMA G064.9869-00.3167,64.986989,-0.316767,0.3,0.3,299.102731,28.022539,0.3,0.3
SSTGLMA G064.9890+00.2190,64.989022,0.219031,0.3,0.3,298.583948,28.301645,0.3,0.3
SSTGLMA G064.9900+01.3259,64.990028,1.325917,0.3,0.3,297.501719,28.869208,0.3,0.3
SSTGLMA G064.9949+00.2704,64.994944,0.270439,0.3,0.3,298.537384,28.333228,0.3,0.3
SSTGLMA G064.9957+00.3981,64.995698,0.398117,0.3,0.3,298.413452,28.399637,0.3,0.3
SSTGLMA G064.9996+01.1290,64.99961,1.129058,0.3,0.3,297.700722,28.777295,0.3,0.3
SSTGLMA G065.0171+01.0208,65.017123,1.020875,0.3,0.3,297.81706,28.737192,0.3,0.3
SSTGLMA G065.0172-00.0636,65.017288,-0.063647,0.3,0.3,298.87522,28.179735,0.3,0.3
SSTGLMA G065.0173+01.4768,65.017374,1.4768,0.3,0.3,297.369051,28.969348,0.3,0.3
SSTGLMA G065.0187+00.1726,65.018705,0.172636,0.3,0.3,298.646482,28.303127,0.3,0.3
SSTGLMA G065.0188+02.2921,65.018852,2.292192,0.3,0.3,296.563392,29.381703,0.3,0.3
SSTGLMA G065.0207+02.7296,65.020794,2.729642,0.3,0.3,296.129139,29.601918,0.3,0.3
SSTGLMA G065.0326+00.1766,65.032619,0.17665,0.3,0.3,298.650737,28.317116,0.3,0.3
SSTGLMA G065.0363+00.5522,65.036305,0.552222,0.3,0.3,298.286862,28.5137,0.3,0.3
SSTGLMA G065.0391+02.7721,65.039139,2.772142,0.3,0.3,296.097232,29.638967,0.3,0.3
SSTGLMA G065.0471+00.7371,65.047114,0.737103,0.3,0.3,298.112491,28.617838,0.3,0.3
SSTGLMA G065.0514+02.1553,65.051403,2.155339,0.3,0.3,296.717945,29.341175,0.3,0.3
SSTGLMA G065.0517+01.1097,65.051711,1.109783,0.3,0.3,297.749941,28.812288,0.3,0.3
SSTGLMA G065.0539-00.9779,65.053921,-0.977925,0.3,0.3,299.780284,27.734597,0.3,0.3
SSTGLMA G065.0580+02.4008,65.058062,2.400836,0.3,0.3,296.477956,29.470026,0.3,0.3
SSTGLMA G065.0725-00.2709,65.072573,-0.270917,0.3,0.3,299.108721,28.119486,0.3,0.3
SSTGLMA G065.0775+00.5239,65.077548,0.523947,0.3,0.3,298.33859,28.534548,0.3,0.3
SSTGLMA G065.0842-00.9341,65.084234,-0.934164,0.3,0.3,299.756121,27.783346,0.3,0.3
SSTGLMA G065.0853+00.2549,65.085331,0.254933,0.3,0.3,298.60546,28.402669,0.3,0.3
SSTGLMA G065.0881-00.9644,65.088103,-0.964439,0.3,0.3,299.787553,27.770771,0.3,0.3
SSTGLMA G065.0937-01.0029,65.093745,-1.002933,0.3,0.3,299.827937,27.755387,0.3,0.3
SSTGLMA G065.0986-00.2014,65.098692,-0.201489,0.3,0.3,299.056817,28.177864,0.3,0.3
SSTGLMA G065.1019+01.8184,65.101961,1.818397,0.3,0.3,297.080842,29.215133,0.3,0.3
SSTGLMA G065.1050+02.8369,65.105013,2.836914,0.3,0.3,296.070243,29.728267,0.3,0.3
SSTGLMA G065.1062-00.7722,65.106293,-0.772278,0.3,0.3,299.613209,27.886896,0.3,0.3
SSTGLMA G065.1064-00.6836,65.106404,-0.683608,0.3,0.3,299.527737,27.933345,0.3,0.3
SSTGLMA G065.1082-00.4776,65.108199,-0.477639,0.3,0.3,299.329819,28.042348,0.3,0.3
SSTGLMA G065.1123+00.7655,65.112336,0.765497,0.3,0.3,298.122794,28.68839,0.3,0.3
SSTGLMA G065.1136+00.5359,65.113607,0.535936,0.3,0.3,298.347987,28.571639,0.3,0.3
SSTGLMA G065.1182-00.4714,65.118238,-0.471478,0.3,0.3,299.329788,28.054126,0.3,0.3
SSTGLMA G065.1282+01.5876,65.128212,1.587611,0.3,0.3,297.324036,29.121027,0.3,0.3
SSTGLMA G065.1315-00.0366,65.131526,-0.036603,0.3,0.3,298.916136,28.29146,0.3,0.3
SSTGLMA G065.1341-00.8085,65.134163,-0.808514,0.3,0.3,299.664644,27.891683,0.3,0.3
SSTGLMA G065.1349+00.7052,65.134984,0.705242,0.3,0.3,298.194997,28.676935,0.3,0.3
SSTGLMA G065.1378+00.1638,65.13781,0.163839,0.3,0.3,298.72495,28.400567,0.3,0.3
SSTGLMA G065.1387+01.4355,65.13873,1.4355,0.3,0.3,297.480143,29.052924,0.3,0.3
SSTGLMA G065.1400+00.0790,65.140043,0.079031,0.3,0.3,298.808766,28.358622,0.3,0.3
SSTGLMA G065.1421+00.5232,65.14215,0.523219,0.3,0.3,298.377122,28.589578,0.3,0.3
SSTGLMA G065.1433+00.5275,65.14332,0.527589,0.3,0.3,298.373539,28.592829,0.3,0.3
SSTGLMA G065.1434+01.2357,65.143434,1.235717,0.3,0.3,297.67956,28.955366,0.3,0.3
SSTGLMA G065.1447+02.7692,65.144737,2.769247,0.3,0.3,296.160569,29.728997,0.3,0.3
