SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax
104762,293.689344,19.506973,55.138691,-0.307194,1825414671967537152,1825414671967537152,-0.884669991
104834,293.784033,19.570585,55.237651,-0.354278,1825416797945375360,1825416797945375360,1.3340373112009367
104524,293.359226,19.425218,54.916289,-0.074606,1825419924675835136,1825419924675835136,-0.344302765
104645,293.531397,19.450635,55.017172,-0.204331,1825420783673781248,1825420783673781248,0.7112751675229531
104638,293.518447,19.475471,55.032975,-0.181611,1825420955472462080,1825420955472462080,-1.057199054
104496,293.315538,19.478594,54.943069,-0.012728,1825423330590124416,1825423330590124416,-0.128584968
104467,293.274795,19.4661,54.913555,0.01485,1825423635531836288,1825423635531836288,0.4933618186781998
104668,293.558211,19.491052,55.064779,-0.206842,1825426830987760384,1825426830987760384,1.5382579702975303
104647,293.535269,19.492273,55.055359,-0.187336,1825426865347476224,1825426865347476224,0.07246576
104660,293.550273,19.523915,55.08989,-0.184361,1825427213273333248,1825427213273333248,5.368068766932446
104588,293.43797,19.62082,55.123369,-0.044839,1825432431626950912,1825432431626950912,
104701,293.601499,19.684791,55.25398,-0.148522,1825433943455575424,1825433943455575424,
104205,292.905396,19.246298,54.552847,0.214019,1825436589151100928,1825436589151100928,3.1952837535993655
104103,292.806388,19.268924,54.52768,0.306836,1825437211933007104,1825437211933007104,
104105,292.806515,19.287756,54.544246,0.315792,1825440544852368896,1825440544852368896,0.1085190078132724
104095,292.797908,19.393531,54.633067,0.373806,1825443598538445696,1825443598538445696,-1.483004049
104171,292.872316,19.440391,54.70792,0.334847,1825444079571982976,1825444079571982976,-0.383971531
104146,292.856768,19.449802,54.709109,0.352228,1825444290038524160,1825444290038524160,-0.372791236
104339,293.066641,19.405292,54.7655,0.157356,1825445355216482176,1825445355216482176,
104290,293.011576,19.406205,54.741248,0.203292,1825445733173684352,1825445733173684352,0.5717130444425562
104287,293.009585,19.434838,54.765427,0.218744,1825446351649237888,1825446351649237888,1.3546034676716165
104368,293.108802,19.414034,54.792347,0.126747,1825446656556401792,1825446656556401792,-0.889051666
104345,293.07443,19.47928,54.83385,0.186622,1825448103995602816,1825448103995602816,0.6885258053758803
104204,292.904935,19.486007,54.76271,0.329861,1825450337378816512,1825450337378816512,-0.035582728
103867,292.610388,19.519475,54.658526,0.589389,1825459472739472896,1825459472739472896,0.2903559476774295
103993,292.704839,19.505413,54.688963,0.504553,1825459953775878016,1825459953775878016,-5.648631882
104092,292.792418,19.561291,54.777649,0.459053,1825463462800690176,1825463462800690176,-1.310181113
104015,292.729935,19.594026,54.778038,0.526411,1825466726975767040,1825466726975767040,0.068194333
104115,292.81461,19.629319,54.847347,0.473456,1825467139273017088,1825467139273017088,-0.23019179
104428,293.207323,19.629174,55.02558,0.149336,1825474419227051392,1825474419227051392,
104402,293.161187,19.610421,54.988167,0.178328,1825475759256816384,1825475759256816384,0.5111557245163504
104396,293.157399,19.610548,54.986555,0.181514,1825475797929662976,1825475797929662976,0.6456212175988757
104367,293.108437,19.669126,55.015589,0.250178,1825477133646312192,1825477133646312192,2.4781269743558725
104363,293.097087,19.683741,55.023231,0.266592,1825477202365781120,1825477202365781120,0.7441030589450306
104446,293.246289,19.724433,55.126708,0.163253,1825478336237959552,1825478336237959552,0.17980244383052896
104444,293.245609,19.734527,55.135235,0.168692,1825478443647531648,1825478443647531648,
104578,293.42861,19.767011,55.247,0.033678,1825482906083314048,1825482906083314048,-1.243966536
104619,293.495199,19.828289,55.330961,0.008558,1825483593278702976,1825483593278702976,0.6100842632566335
104465,293.273871,19.726588,55.141147,0.141567,1825484044285164416,1825484044285164416,0.6925938778010461
104462,293.270735,19.745717,55.156464,0.1534,1825484246112973312,1825484246112973312,0.5149887253340455
104453,293.26206,19.748234,55.154719,0.161764,1825484319163178752,1825484319163178752,-3.657201127
104575,293.42693,19.87618,55.341746,0.087933,1825487132331713920,1825487132331713920,-0.202514912
104239,292.947729,19.707951,54.976627,0.401456,1825489816703362944,1825489816703362944,
