SFCno,GLON,GLAT,Vmean,SigV,Rang,MaxAxis,MinAxis,Rgal,D,Wco,Mgas,Rad,Q,Sigma,SFEbr,SFRbr,tff,aVir,_RA_icrs,_DE_icrs
25,9.21,-0.46,37.78,4.9,0.61,0.62,0.61,4.05,4.58,2460,1070000,49.05,7.33,141,0.0108,0.0154,5.52,1.28,271.96,-21.2
88,42.93,-0.06,10.06,5.14,0.65,0.73,0.62,8.07,11.84,638,1850000,134.53,7.16,30.8,0.00612,0.0301,19.02,2.23,287.51,8.86
198,316.79,-0.04,-45.99,5.23,0.58,0.59,0.57,6.54,3.21,1930,409000,32.28,7.01,123,0.0264,0.0325,4.76,2.51,221.31,-59.81
24,8.29,-0.34,38.1,5.51,0.4,0.46,0.38,3.81,4.8,1090,520000,33.61,6.96,137,0.0208,0.0241,4.49,2.28,271.36,-21.95
209,324.15,-0.83,-58.6,5.33,0.43,0.56,0.37,5.84,9.95,248,511000,74.1,6.84,30.1,0.0209,0.0802,14.81,4.8,234.14,-56.74
161,268.61,-1.68,5.83,3.35,0.68,0.76,0.64,8.88,2.34,2850,292000,27.76,6.63,114,0.0317,0.0368,4.49,1.24,134.72,-48.42
121,93.37,1.47,-72.22,3.79,0.36,0.4,0.34,13.07,9.44,52.2,96600,58.79,6.4,7.34,0.0957,0.596,24.08,10.2,320.01,51.77
250,347.73,0.07,-32.74,6.05,0.49,0.53,0.47,4.98,12.94,747,2590000,111.41,6.32,63.9,0.00387,0.0121,12.12,1.83,258.12,-39.12
81,41.03,-0.07,62.75,5.8,0.48,0.53,0.46,5.93,8.41,634,930000,71.14,6.32,55.9,0.0107,0.0286,10.33,3,286.63,7.17
133,110.46,-0.57,-49.21,4.49,0.57,0.61,0.56,11.47,5.28,2290,1310000,52.78,6.25,146,0.0075,0.0108,5.55,0.944,347.42,59.82
21,6.51,-1.15,11.17,6.05,0.26,0.42,0.21,5.87,2.65,138,20100,12.23,6.05,46.2,0.324,0.42,5,25.9,271.19,-23.9
48,20.51,-0.17,54.39,7.55,0.38,0.47,0.34,4.95,11.92,507,1490000,78.69,5.92,55.3,0.00629,0.0154,9.48,3.49,277.28,-11.12
1,0.16,-0.16,45.05,22.15,0.31,0.32,0.3,0.16,8.66,3170,4930000,46.98,5.74,696,0.00185,0.00115,2.41,5.45,266.66,-28.88
39,15.03,-0.84,18.84,3.06,0.43,0.71,0.33,6.41,2.19,1260,125000,16.24,5.58,76.3,0.0665,0.0528,3.07,1.41,275.25,-16.27
44,18.37,1.97,27.5,2.75,0.53,0.63,0.49,6.1,2.59,933,129000,23.99,5.58,65.5,0.0641,0.0899,5.42,1.63,274.32,-12
63,27.4,0.08,36.61,6.31,0.37,0.43,0.34,6.26,12.44,394,1260000,80.06,5.54,57.8,0.00696,0.019,10.58,2.94,280.26,-4.89
117,85.37,-0.11,-37.28,1.95,0.25,0.3,0.22,10.48,6.85,59.6,58100,29.33,5.43,12.4,0.13,0.367,10.94,2.23,313.64,44.8
96,51.95,0.66,3.95,3.1,0.56,0.66,0.52,8.43,10.36,649,1450000,101.96,4.83,41,0.0053,0.0195,14.21,0.79,291.18,17.17
252,348.41,-1.1,-17.22,5.11,0.29,0.38,0.25,6.13,2.44,646,79900,12.25,4.62,88,0.0845,0.055,2.52,4.66,259.86,-39.25
99,54.07,-0.16,39.72,5.61,0.29,0.36,0.26,7,6.26,279,227000,31.44,4.51,48.7,0.0307,0.0487,6.13,5.06,293.01,18.64
42,16.53,-0.15,40.92,7.35,0.44,0.47,0.43,5.12,12.66,827,2750000,98.2,4.18,88.6,0.00242,0.0061,9.74,2.25,275.35,-14.63
236,340.15,0.93,-63.95,6.92,0.49,0.54,0.47,4.53,11.49,957,2630000,98.93,3.67,48.6,0.00223,0.0058,10.08,2.1,250.89,-44.53
155,211.98,-1.13,42.95,1.57,0.55,0.71,0.49,13.93,5.97,140,103000,57.7,3.61,5.86,0.0528,0.309,22.64,1.6,101.42,0.33
113,83.93,0.7,-5.82,3.24,0.37,0.5,0.31,8.88,3.61,275,74400,22.99,3.55,28.6,0.0707,0.123,6.71,3.78,311.48,44.2
163,274.21,-1.59,36.88,2.1,0.61,0.96,0.48,10.45,6.74,66.8,63000,71.25,3.5,4.35,0.0815,0.839,39.77,5.82,140.84,-52.45
264,353.19,1.02,-4.4,2.57,0.56,0.64,0.52,7.34,1.17,1860,52300,11.38,3.49,120,0.0957,0.0689,2.79,1.67,261.07,-34.11
240,342.64,0.24,-34.31,2.69,0.25,0.37,0.21,5.57,3.15,168,34700,13.84,3.48,45.9,0.138,0.163,4.58,3.36,253.83,-43.06
231,338.96,0.54,-60.54,3.86,0.45,0.55,0.41,4.77,4.26,1130,426000,33.72,3.47,109,0.0128,0.0165,4.98,1.37,250.19,-45.68
276,359.2,-0.13,-11.58,11.97,0.22,0.29,0.19,1.69,10.18,966,2080000,38.86,3.1,324,0.00237,0.00171,2.79,3.11,266.05,-29.69
210,324.36,0.24,-85.3,4.87,0.49,0.75,0.4,5.08,7.83,557,694000,66.96,2.92,39.9,0.00652,0.0184,10.92,2.67,233.33,-55.75
73,32.01,-0.06,95.95,4.21,0.43,0.6,0.37,4.62,6.18,919,730000,46.79,2.88,71.6,0.00627,0.0101,6.22,1.33,282.49,-0.85
